epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,17622,1.51517,0.8751,0.95447,0.79259,0.6528,0.75543,0.43759,1.43064,0.8068,0.93781,0.00626275,0.00626275,0.00626275
153,17730.1,1.51384,0.87267,0.95441,0.79167,0.65341,0.7555,0.4377,1.43042,0.80663,0.93779,0.006238,0.006238,0.006238
154,17837.8,1.51381,0.8727,0.95428,0.79226,0.65308,0.75564,0.43785,1.42995,0.80661,0.93772,0.00621325,0.00621325,0.00621325
155,17955.9,1.51536,0.87401,0.9544,0.79193,0.65308,0.75542,0.43681,1.43228,0.80728,0.93782,0.0061885,0.0061885,0.0061885
156,18069.6,1.51449,0.87366,0.95455,0.79212,0.65268,0.75529,0.43668,1.43289,0.80741,0.93794,0.00616375,0.00616375,0.00616375
157,18184.3,1.51179,0.87244,0.95487,0.79225,0.65253,0.75519,0.43641,1.43348,0.80752,0.93813,0.006139,0.006139,0.006139
158,18308.1,1.51238,0.87297,0.95474,0.79227,0.65289,0.7554,0.43683,1.43248,0.8069,0.9381,0.00611425,0.00611425,0.00611425
159,18434.1,1.51332,0.87251,0.95432,0.79232,0.65302,0.75552,0.43682,1.43234,0.8068,0.93804,0.0060895,0.0060895,0.0060895
160,18545.5,1.51043,0.87175,0.95425,0.79239,0.65282,0.75542,0.43614,1.43358,0.80682,0.9381,0.00606475,0.00606475,0.00606475
161,18662,1.51129,0.87091,0.95366,0.79192,0.65331,0.75552,0.43661,1.43298,0.80669,0.9382,0.00604,0.00604,0.00604
162,18771.9,1.51111,0.87113,0.95451,0.79205,0.65335,0.75548,0.43641,1.43325,0.80661,0.93832,0.00601525,0.00601525,0.00601525
163,18893.6,1.51018,0.8709,0.95396,0.79259,0.65276,0.75541,0.43636,1.43372,0.80678,0.93847,0.0059905,0.0059905,0.0059905
164,19020.4,1.51093,0.87071,0.95439,0.79235,0.65278,0.75537,0.43651,1.43294,0.80654,0.93838,0.00596575,0.00596575,0.00596575
165,19137,1.51155,0.87214,0.95434,0.79232,0.65322,0.75565,0.43676,1.43198,0.80615,0.93819,0.005941,0.005941,0.005941
166,19245.8,1.51005,0.86985,0.95348,0.79279,0.65283,0.75556,0.43681,1.4315,0.80584,0.93819,0.00591625,0.00591625,0.00591625
167,19355.7,1.50837,0.86964,0.95352,0.79306,0.65292,0.75579,0.43758,1.42949,0.80524,0.93801,0.0058915,0.0058915,0.0058915
